document_uid,document_code,title,gqms_domain,gqms_type,erp_document_type,version,status,criticality,owner,effective_date,review_cycle,folder_id,folder_path,is_mandatory_group_sop,linkable_in_erp,link_blocked_reason
UID-0000010,GMG-QMS-LOG-0001,Document Master Register,QMS,LOG,Register,V0.91,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-01-LOG,01_QMS/LOG,,yes,
UID-0000012,GMG-QMS-LOG-0003,External Document Register,QMS,LOG,Register,V0.5,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-01-LOG,01_QMS/LOG,,yes,
UID-0000013,GMG-QMS-LOG-0004,Document Retention Schedule,QMS,LOG,Register,V0.3,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-01-LOG,01_QMS/LOG,,yes,
UID-0000002,GMG-QMS-LOG-0005,Scope Entity Register,QMS,LOG,Register,V0.4,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-01-LOG,01_QMS/LOG,,yes,
UID-0000014,GMG-QMS-LOG-0006,Coding Register and Legacy Mapping,QMS,LOG,Register,V0.19,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-01-LOG,01_QMS/LOG,,yes,
UID-0000019,GMG-QMS-LOG-0007,Controlled Repository Folder Path Register,QMS,LOG,Register,V0.22,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-01-LOG,01_QMS/LOG,,yes,
UID-0000026,GMG-QMS-LOG-0008,Mandatory Group SOP Execution Tracker,QMS,LOG,Register,V0.2,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-01-LOG,01_QMS/LOG,,yes,
UID-0000027,GMG-QMS-LOG-0009,Local Implementation Tracker,QMS,LOG,Register,V0.1,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-01-LOG,01_QMS/LOG,,yes,
UID-0000176,GMG-QMS-LOG-0010,Approved Supplier and Third-Party Register,QMS,LOG,Register,V1.5,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-01-LOG,01_QMS/LOG,,yes,
UID-0000165,GMG-QMS-LOG-0012,"Quality Events Register (tabs: Deviations, CAPA, Complaints, Risk)",QMS,LOG,Register,V1.3,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-01-LOG,01_QMS/LOG,,yes,
UID-0000208,GMG-QMS-MAN-0001,Group Quality Manual,QMS,MAN,Other,V1.16,Draft,Critical,GQD / QA Documentation,TBD,24 months,,01_QMS/MAN,,yes,no mapped repository folder
UID-0000159,GMG-QMS-MTX-0002,R&D - Supply Chain Interface Matrix,QMS,MTX,Matrix,V1.0,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-01-MTX,01_QMS/MTX,,yes,
UID-0000164,GMG-QMS-MTX-0003,Training Matrix,QMS,MTX,Matrix,V1.5,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-01-MTX,01_QMS/MTX,,yes,
UID-0000182,GMG-QMS-MTX-0004,Register Access and Role Matrix,QMS,MTX,Matrix,V1.4,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-01-MTX,01_QMS/MTX,,yes,
UID-0000020,GMG-QMS-PLN-0001,SOP-0001 Implementation Plan and Tracker,QMS,PLN,Other,V0.8,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-01-PLN,01_QMS/PLN,,yes,
UID-0000021,GMG-QMS-PLN-0002,GQMS Documentation Preparation Plan,QMS,PLN,Other,V1.0,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-01-PLN,01_QMS/PLN,,yes,
UID-0000031,GMG-QMS-PLN-0003,Mandatory Group SOP Plan,QMS,PLN,Other,V1.0,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-01-PLN,01_QMS/PLN,,yes,
UID-0000032,GMG-QMS-PLN-0004,Company and Site Implementation Plan,QMS,PLN,Other,V1.1,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-01-PLN,01_QMS/PLN,,yes,
UID-0000180,GMG-QMS-PLN-0005,Document Control End-to-End Dry Run Protocol,QMS,PLN,Other,V1.2,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-01-PLN,01_QMS/PLN,,yes,
UID-0000183,GMG-QMS-PLN-0006,Go-Live Qualification and Release Readiness Package,QMS,PLN,Other,V1.0,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-01-PLN,01_QMS/PLN,,yes,
UID-0000001,GMG-QMS-SOP-0001,Document Control,QMS,SOP,SOP,V0.34,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,yes,yes,
UID-0000101,GMG-QMS-SOP-0002,Record Control and Good Documentation Practice,QMS,SOP,SOP,V0.5,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,yes,yes,
UID-0000102,GMG-QMS-SOP-0003,"Training, Qualification and Competency Management",QMS,SOP,SOP,V0.14,Draft,Critical,GQD (owner) / Training Coordinator (administrator),TBD,24 months,GQMS-01-SOP,01_QMS/SOP,yes,yes,
UID-0000103,GMG-QMS-SOP-0004,Quality Risk Management,QMS,SOP,SOP,V0.4,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,yes,yes,
UID-0000104,GMG-QMS-SOP-0005,Deviation and Incident Management,QMS,SOP,SOP,V0.4,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,yes,yes,
UID-0000105,GMG-QMS-SOP-0006,CAPA Management,QMS,SOP,SOP,V0.8,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,yes,yes,
UID-0000106,GMG-QMS-SOP-0007,Change Control,QMS,SOP,SOP,V0.6,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,yes,yes,
UID-0000108,GMG-QMS-SOP-0008,Complaint Handling,QMS,SOP,SOP,V0.5,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,yes,yes,
UID-0000113,GMG-QMS-SOP-0010,Supplier and Third-Party Qualification and Oversight,QMS,SOP,SOP,V0.7,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,yes,yes,
UID-0000118,GMG-QMS-SOP-0012,Audit and Self-Inspection,QMS,SOP,SOP,V0.6,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-01-SOP,01_QMS/SOP,yes,yes,
UID-0000015,GMG-QMS-TPL-0001,Corporate / SOP Document Template,QMS,TPL,Template,V2.0,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-01-TPL,01_QMS/TPL,,yes,
UID-0000016,GMG-QMS-TPL-0002,Policy / Manual Template,QMS,TPL,Template,V1.0,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-01-TPL,01_QMS/TPL,,yes,
UID-0000025,GMG-RAF-MEM-0001,WDA / Responsible Person Regulatory Position Memo,RAF,MEM,Other,V0.2,Draft,Major,GRA,TBD,24 months,PROVISIONAL-040,05_RAF/MEM,,yes,
UID-0000142,GMG-RND-FRM-0002,Material Technical Assessment (Gate G1),RND,FRM,Form,V1.0,Draft,Major,Head of R&D,TBD,24 months,,10_RND/FRM,,yes,no mapped repository folder
UID-0000143,GMG-RND-FRM-0003,Composition Freeze Checklist (Gate G3),RND,FRM,Form,V1.0,Draft,Major,Head of R&D,TBD,24 months,,10_RND/FRM,,yes,no mapped repository folder
UID-0000141,GMG-RND-LOG-0001,Product and Composition Register,RND,LOG,Register,V0.4,Draft,Critical,Head of R&D,TBD,24 months,GQMS-11-LOG,10_RND/LOG,,yes,
UID-0000140,GMG-RND-SOP-0001,"Product and API Development, Formulation and Composition Control",RND,SOP,SOP,V0.4,Draft,Critical,Head of R&D,TBD,24 months,GQMS-11-SOP,10_RND/SOP,yes,yes,
UID-0000157,GMG-SCM-FRM-0001,Material and Product Code Request / Allocation,SCM,FRM,Form,V1.0,Draft,Major,Supply Chain / Master Data,TBD,24 months,GQMS-09-FRM,30_BPG/SCM/FRM,,yes,
UID-0000151,GMG-SCM-LOG-0001,Material Master Register,SCM,LOG,Register,V0.3,Draft,Critical,Supply Chain / Master Data,TBD,24 months,GQMS-09-LOG,30_BPG/SCM/LOG,,yes,
UID-0000150,GMG-SCM-SOP-0001,Material and Product Master Data Coding,SCM,SOP,SOP,V0.3,Draft,Critical,Supply Chain / Master Data,TBD,24 months,GQMS-09-SOP,30_BPG/SCM/SOP,yes,yes,
UID-0000160,GMG-SCM-TPL-0001,Specification Template,SCM,TPL,Template,V1.0,Draft,Major,Supply Chain / Master Data,TBD,24 months,GQMS-09-TPL,30_BPG/SCM/TPL,,yes,
UID-0000158,GMG-SCM-WIN-0001,Code Allocation Work Instruction,SCM,WIN,Work Instruction,V1.0,Draft,Major,Supply Chain / Master Data,TBD,24 months,GQMS-09-WIN,30_BPG/SCM/WIN,,yes,
UID-0000023,GMG-QMS-RSK-0001,Segregation of Duties Risk Assessment,QMS,RSK,Other,V0.3,Draft,Critical,GQD,,,PROVISIONAL-011,01_QMS/RSK,,yes,
UID-0000008,GMG-QMS-FRM-0005,Obsolete Document Withdrawal Certificate,QMS,FRM,Form,V1.0,Draft,Major,QA Documentation,,,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000011,GMG-QMS-LOG-0002,Controlled Copy Log,QMS,LOG,Register,V1.0,Draft,Critical,QA Documentation / Local QA,,,GQMS-01-LOG,01_QMS/LOG,,yes,
UID-0000006,GMG-QMS-FRM-0003,Training Impact Assessment Form,QMS,FRM,Form,V1.0,Draft,Major,QA Documentation,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000007,GMG-QMS-FRM-0004,Periodic Review Record,QMS,FRM,Form,V1.0,Draft,Major,QA Documentation,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000009,GMG-QMS-FRM-0006,Document Withdrawal and Reconciliation Form,QMS,FRM,Form,V1.0,Draft,Major,QA Documentation,TBD,24 months,GQMS-01-FRM,01_QMS/FRM,,yes,
UID-0000207,GMG-PV-TPL-0002,PSMF Template (main body + Annexes A–H + PSMF logbook),PV,TPL,Template,V1.3,Draft,Critical,QPPV,TBD,24 months,GQMS-04-TPL,04_PV/TPL,,yes,
UID-0000210,GMG-PV-FRM-0001,AE / ICSR Intake Form (incl. CIOMS I) — the AE intake checklist,PV,FRM,Form,V0.2,Draft,Critical,QPPV,—,24 months,GQMS-04-FRM,04_PV/FRM,,yes,
UID-0000211,GMG-PV-LOG-0002,ICSR Case Register — the safety case log,PV,LOG,Register,V0.2,Draft,Critical,QPPV,—,24 months,GQMS-04-LOG,04_PV/LOG,,yes,
UID-0000212,GMG-PV-MAN-0001,Pharmacovigilance System Master File (PSMF),PV,MAN,Other,V0.29,Draft,Critical,QPPV,—,24 months,PROVISIONAL-029,04_PV/MAN,,yes,
UID-0000213,GMG-QMS-STD-0001,Controlled Document Formatting Standard,QMS,STD,Policy,V0.16,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-01-STD,01_QMS/STD,,yes,
UID-0000215,GMG-QMS-SOP-0015,"Creation, Standardisation and Lifecycle Management of Master Files",QMS,SOP,SOP,V0.5,Draft,Critical,Global Quality Director,—,24 months,GQMS-01-SOP,01_QMS/SOP,,yes,
UID-0000230,GMG-PV-SOP-0002,"PSMF Creation, Maintenance and Provision",PV,SOP,SOP,V0.9,Draft,Critical,Applicable QPPV,—,24 months,GQMS-04-SOP,04_PV/SOP,yes,yes,
UID-0000271,GMG-QMS-POL-0001,Group Quality Policy,QMS,POL,Policy,V0.2,Draft,Critical,CEO / GQD,—,24 months,,01_QMS/POL,,yes,no mapped repository folder
UID-0000003,GMG-QMS-MTX-0001,Group Quality Governance Matrix,QMS,MTX,Matrix,V0.1,Draft,Critical,GQD,—,24 months,GQMS-01-MTX,01_QMS/MTX,,yes,
UID-0000017,GMG-QMS-WIN-0001,Controlled Repository Work Instruction,QMS,WIN,Work Instruction,V0.1,Draft,Major,QA Documentation,—,24 months,GQMS-01-WIN,01_QMS/WIN,,yes,
UID-0000018,GMG-QMS-WIN-0002,Document Control During DMS/Repository Downtime,QMS,WIN,Work Instruction,V0.1,Draft,Major,QA Documentation / IT-CSV,—,24 months,GQMS-01-WIN,01_QMS/WIN,,yes,
UID-0000272,GMG-QMS-SOP-0014,Data Integrity,QMS,SOP,SOP,V0.1,Draft,Critical,GQD / IT-CSV,—,24 months,GQMS-01-SOP,01_QMS/SOP,yes,yes,
UID-0000273,GMG-QMS-SOP-0013,Management Review,QMS,SOP,SOP,V0.1,Draft,Critical,GQD,—,24 months,GQMS-01-SOP,01_QMS/SOP,yes,yes,
UID-0000274,GMG-QMS-SOP-0009,Product Recall and Field Safety Action,QMS,SOP,SOP,V0.1,Draft,Critical,GQD,—,24 months,GQMS-01-SOP,01_QMS/SOP,yes,yes,
UID-0000275,GMG-QMS-SOP-0011,Quality and Technical Agreements,QMS,SOP,SOP,V0.1,Draft,Major,GQD,—,24 months,GQMS-01-SOP,01_QMS/SOP,yes,yes,
UID-0000276,GMG-RAF-LOG-0001,Product–Market–MAH and Marketing Authorisation Register,RAF,LOG,Register,V0.2,Draft,Critical,GRA,TBD,24 months,GQMS-05-LOG,05_RAF/LOG,,yes,
UID-0000214,GMG-PV-MAN-0001-H,PSMF Annex H — Product / Marketing-Authorisation Register (GMG),PV,MAN,Other,V0.7,Draft,Critical,GQD / QA Documentation,TBD,On PSMF update,PROVISIONAL-029,04_PV/MAN,,yes,
UID-0000468,GMG-PV-MAN-0002-H,PSMF Annex H — EU Product / Marketing-Authorisation Register,PV,MAN,Other,V0.10,Draft,Critical,GQD / QA Documentation,TBD,On PSMF update,PROVISIONAL-029,04_PV/MAN,,yes,
UID-0000277,GMG-PV-SOP-0004,Signal Management,PV,SOP,SOP,V0.14,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-04-SOP,04_PV/SOP,,yes,
UID-0000278,GMG-PV-SOP-0011,Pharmacovigilance System Performance Monitoring and KPIs,PV,SOP,SOP,V0.8,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-04-SOP,04_PV/SOP,,yes,
UID-0000279,GMG-PV-SOP-0013,Local Pharmacovigilance Process Management,PV,SOP,SOP,V0.11,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-04-SOP,04_PV/SOP,,yes,
UID-0000280,GMG-PV-WIN-0001,Di10-PV MAH Portal — User Instruction,PV,WIN,Work Instruction,V0.4,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-04-WIN,04_PV/WIN,,yes,
UID-0000469,GMG-QMS-PLN-0007,Documentation Portfolio and Implementation Roadmap,QMS,PLN,Other,V0.4,Draft,Major,Global Quality Director,—,Quarterly during implementation,GQMS-01-PLN,01_QMS/PLN,,yes,
UID-0000269,GMG-PV-SOP-0001,PV System Governance and QPPV Roles,PV,SOP,SOP,V0.13,Draft,Critical,Applicable QPPV,—,24 months,GQMS-04-SOP,04_PV/SOP,yes,yes,
UID-0000270,GMG-PV-SOP-0003,ICSR Management (Individual Case Safety Report Management),PV,SOP,SOP,V0.11,Draft,Critical,Applicable QPPV,—,24 months,GQMS-04-SOP,04_PV/SOP,,yes,
UID-0000281,GMG-PV-SOP-0005,Literature and Digital Source Monitoring,PV,SOP,SOP,V0.9,Draft,Critical,Applicable QPPV,—,24 months,GQMS-04-SOP,04_PV/SOP,,yes,
UID-0000282,GMG-PV-SOP-0006,Aggregate Safety Reports (PSUR / PBRER),PV,SOP,SOP,V0.10,Draft,Critical,Applicable QPPV / GRA,—,24 months,GQMS-04-SOP,04_PV/SOP,,yes,
UID-0000231,GMG-PV-MAN-0002,Setonda Pharmacovigilance System Master File,PV,MAN,Other,V0.23,Draft,Critical,EU QPPV,—,24 months,PROVISIONAL-029,04_PV/MAN,,yes,
UID-0000283,GMG-PV-RSK-0001,PV System Boundary and Shared-Element Risk Assessment,PV,RSK,Other,V0.6,Draft,Critical,Applicable QPPV,—,24 months,PROVISIONAL-033,04_PV/RSK,,yes,
UID-0000284,GMG-PV-PLN-0003,PV Audit and Inspection-Readiness Programme,PV,PLN,Other,V0.4,Draft,Major,Applicable QPPV / GQD,—,24 months,GQMS-04-PLN,04_PV/PLN,,yes,
UID-0000285,GMG-PV-PLN-0004,Setonda Setonda PSMF — Establishment and Readiness Plan,PV,PLN,Other,V0.8,Draft,Major,EU QPPV / GRA,—,24 months,GQMS-04-PLN,04_PV/PLN,,yes,
UID-0000286,GMG-PV-PLN-0005,PV Configuration and Harmonisation Control Plan,PV,PLN,Other,V0.8,Draft,Major,QA Documentation / QPPV,—,24 months,GQMS-04-PLN,04_PV/PLN,,yes,
UID-0000260,GMG-PV-MTX-0002,Country PV Regulatory Requirements Matrix,PV,MTX,Matrix,V0.8,Draft,Major,Applicable QPPV,—,24 months,GQMS-04-MTX,04_PV/MTX,,yes,
UID-0000287,GMG-PV-MTX-0003,PV – Quality Complaint Reconciliation Interface,PV,MTX,Matrix,V0.3,Draft,Major,Applicable QPPV / GQD,—,24 months,GQMS-04-MTX,04_PV/MTX,,yes,
UID-0000288,GMG-PV-WIN-0004,Pharmacovigilance Training Curriculum,PV,WIN,Work Instruction,V0.3,Draft,Major,QPPV / Training Coordinator,—,24 months,GQMS-04-WIN,04_PV/WIN,,yes,
UID-0000289,GMG-PV-CHK-0002,PV Readiness and Harmonisation Audit,PV,CHK,Form,V0.4,Draft,Major,QPPV / Internal Audit,—,24 months,GQMS-04-CHK,04_PV/CHK,,yes,
UID-0000290,GMG-PV-CHK-0003,PV Legacy-to-New Traceability and Harmonisation Audit,PV,CHK,Form,V0.1,Draft,Major,QPPV / Internal Audit,—,24 months,GQMS-04-CHK,04_PV/CHK,,yes,
UID-0000291,GMG-PV-LOG-0009,PV Archive and Record-Retrieval Register,PV,LOG,Register,V0.2,Draft,Major,Applicable QPPV,—,24 months,GQMS-04-LOG,04_PV/LOG,,yes,
UID-0000247,GMG-PV-FRM-0005,Pharmacovigilance Legacy Document Retirement Record,PV,FRM,Form,V0.2,Draft,Major,QA Documentation / QPPV,—,24 months,GQMS-04-FRM,04_PV/FRM,,yes,
UID-0000292,GMG-PV-FRM-0005-BATCH-01,PV Legacy Document Retirement Record (batch),PV,FRM,Form,V0.2,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-04-FRM,04_PV/FRM,,yes,
UID-0000293,GMG-PV-SOP-0007,Risk Management Plan (RMP) Management [GVP Module V],PV,SOP,SOP,V0.7,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-04-SOP,04_PV/SOP,,yes,
UID-0000294,GMG-PV-SOP-0008,PV / Safety-Data-Exchange Agreements (SDEA) Management,PV,SOP,SOP,V0.7,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-04-SOP,04_PV/SOP,,yes,
UID-0000295,GMG-PV-SOP-0009,[VOID] Safety Reporting to Regulatory Authorities (authority interface),PV,SOP,SOP,V0.0,Void,Critical,GQD / QA Documentation,TBD,24 months,GQMS-04-SOP,04_PV/SOP,,no,"Void — withdrawn, must not be cited"
UID-0000296,GMG-PV-SOP-0010,Safety Communication and Label-Change Management,PV,SOP,SOP,V0.6,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-04-SOP,04_PV/SOP,,yes,
UID-0000297,GMG-PV-SOP-0012,[VOID] Medical Information and Enquiry Management (planned — title to confirm),PV,SOP,SOP,V0.0,Void,Major,GQD / QA Documentation,TBD,24 months,GQMS-04-SOP,04_PV/SOP,,no,"Void — withdrawn, must not be cited"
UID-0000298,GMG-PV-SOP-0014,[VOID] Regulatory Portal Monitoring & Safety Recommendation (planned — title to confirm),PV,SOP,SOP,V0.0,Void,Major,GQD / QA Documentation,TBD,24 months,GQMS-04-SOP,04_PV/SOP,,no,"Void — withdrawn, must not be cited"
UID-0000299,GMG-PV-FRM-0002,Signal Validation and Assessment Form,PV,FRM,Form,V0.1,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-04-FRM,04_PV/FRM,,yes,
UID-0000300,GMG-PV-FRM-0006,PSMF Change / Update Assessment Form,PV,FRM,Form,V0.2,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-04-FRM,04_PV/FRM,,yes,
UID-0000301,GMG-PV-FRM-0007,PSMF Transfer / Termination Record,PV,FRM,Form,V0.2,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-04-FRM,04_PV/FRM,,yes,
UID-0000302,GMG-PV-LOG-0003,Signal Register,PV,LOG,Register,V0.2,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-04-LOG,04_PV/LOG,,yes,
UID-0000303,GMG-PV-LOG-0004,PSUR / PBRER Calendar and Submission Log,PV,LOG,Register,V0.4,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-04-LOG,04_PV/LOG,,yes,
UID-0000304,GMG-PV-LOG-0005,RMP Register and RMM Effectiveness Tracker,PV,LOG,Register,V0.3,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-04-LOG,04_PV/LOG,,yes,
UID-0000305,GMG-PV-LOG-0006,PV Literature and Digital-Source Search Log,PV,LOG,Register,V0.2,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-04-LOG,04_PV/LOG,,yes,
UID-0000306,GMG-PV-LOG-0008,PV Authority-Query Register,PV,LOG,Register,V0.1,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-04-LOG,04_PV/LOG,,yes,
UID-0000307,GMG-PV-LOG-0011,PSMF Provision / Access Register,PV,LOG,Register,V0.1,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-04-LOG,04_PV/LOG,,yes,
UID-0000308,GMG-PV-LOGB-0001,PSMF Operational Logbook,PV,LOGB,Register,V0.3,Draft,Critical,GQD / QA Documentation,TBD,24 months,,04_PV/LOGB,,yes,no mapped repository folder
UID-0000309,GMG-PV-LST-0002,PV Regulatory-Authority Contact List,PV,LST,Register,V0.4,Draft,Major,GQD / QA Documentation,TBD,24 months,PROVISIONAL-028,04_PV/LST,,yes,
UID-0000310,GMG-PV-LST-0003,PSMF Annex Index / Controlled List,PV,LST,Register,V0.7,Draft,Major,GQD / QA Documentation,TBD,24 months,PROVISIONAL-028,04_PV/LST,,yes,
UID-0000311,GMG-PV-MTX-0004,PSMF Source-Data Reconciliation Matrix,PV,MTX,Matrix,V0.1,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-04-MTX,04_PV/MTX,,yes,
UID-0000312,GMG-PV-MTX-0005,PV Digital-Channel / Social-Media Monitoring Matrix,PV,MTX,Matrix,V0.1,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-04-MTX,04_PV/MTX,,yes,
UID-0000313,GMG-PV-MTX-0006,PV Shared-System / Interface Control Matrix,PV,MTX,Matrix,V0.5,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-04-MTX,04_PV/MTX,,yes,
UID-0000314,GMG-PV-CHK-0004,PV Inspection-Readiness Checklist,PV,CHK,Form,V0.3,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-04-CHK,04_PV/CHK,,yes,
UID-0000315,GMG-PV-CHK-0005,PSMF Completeness Checklist,PV,CHK,Form,V0.2,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-04-CHK,04_PV/CHK,,yes,
UID-0000316,GMG-PV-TPL-0004,PV Report / Assessment Template,PV,TPL,Template,V0.1,Draft,Major,GQD / QA Documentation,TBD,24 months,GQMS-04-TPL,04_PV/TPL,,yes,
UID-0000317,GMG-PV-RPT-0001,PV Technical / Assessment Report,PV,RPT,Other,V0.1,Draft,Major,GQD / QA Documentation,TBD,24 months,PROVISIONAL-032,04_PV/RPT,,yes,
UID-0000318,GMG-PV-AGR-0001,Intercompany PV Agreement (GMG AG–Setonda interface),PV,AGR,Agreement,V0.6,Draft,Critical,GQD / QA Documentation,TBD,24 months,GQMS-04-AGR,04_PV/AGR,,yes,
UID-0000319,GMG-PV-AGR-0004,Safety-Data-Exchange Agreement — EU QPPV (Setonda / ELM Pharma),PV,AGR,Agreement,V0.3,Executed (source on file),Critical,GQD / QA Documentation,TBD,24 months,GQMS-04-AGR,04_PV/AGR,,yes,
