full_path,folder_name,purpose,folder_type,department_domain,owning_departments,owner_function,example_documents,access_profile,retention_class,change_control_required,source_of_truth,controlled_by_gqms,legacy_code,provisioning_wave,provisioning_order
GMG-QMS-Controlled-Repository/01_QMS/STD,STD,Standards — mandatory group requirements below policy level.,document_type,QMS,QA Documentation,GQD,GMG-QMS-STD-0001_v0.16_DRAFT_2026-08-07.docx — Controlled Document Formatting Standard | GMG-QMS-STD-0002_v0.5_DRAFT_2026-08-03.docx — Business Process Governance Quality Interface Standard,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,13
GMG-QMS-Controlled-Repository/01_QMS/TPL,TPL,Controlled layout and content templates.,document_type,QMS,QA Documentation,GQD,GMG-QMS-TPL-0001_v2.0_DRAFT_2026-07-11.docx — Corporate / SOP Document Template | GMG-QMS-TPL-0002_v1.0_DRAFT_2026-07-11.docx — Policy / Manual Template | GMG-QMS-TPL-0004_v0.2_DRAFT_2026-08-08.xlsx — Training Curriculum Template,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,14
GMG-QMS-Controlled-Repository/01_QMS/WIN,WIN,Work instructions — task-level detail below an SOP.,document_type,QMS,QA Documentation,GQD,GMG-QMS-WIN-0001_v0.1_DRAFT_2026-07-15.docx — Controlled Repository Work Instruction | GMG-QMS-WIN-0002_v0.1_DRAFT_2026-07-15.docx — Document Control During DMS/Repository Downtime,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,15
GMG-QMS-Controlled-Repository/02_GMP,02_GMP,"Good Manufacturing Practice: manufacturing, batch release, validation and site quality system.",domain,GMP,QA; QP; QC; PTM,GQD,GMG-GMP-PLN-0001_v0.1_DRAFT_2026-07-19.docx — GMP Domain Implementation Plan | GMG-GMP-TPL-0001_v1.0_DRAFT_2026-07-11.docx — Master Formula Record Template,GQMS-Controlled,RET-05-GMP-BATCH,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,2,16
GMG-QMS-Controlled-Repository/02_GMP/PLN,PLN,Controlled plans with a defined timeframe and deliverables.,document_type,GMP,QA; QP; QC; PTM,GQD,GMG-GMP-PLN-0001_v0.1_DRAFT_2026-07-19.docx — GMP Domain Implementation Plan,GQMS-Controlled,RET-05-GMP-BATCH,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,17
GMG-QMS-Controlled-Repository/02_GMP/TPL,TPL,Controlled layout and content templates.,document_type,GMP,QA; QP; QC; PTM,GQD,GMG-GMP-TPL-0001_v1.0_DRAFT_2026-07-11.docx — Master Formula Record Template,GQMS-Controlled,RET-05-GMP-BATCH,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,18
GMG-QMS-Controlled-Repository/03_GDP,03_GDP,"Good Distribution Practice: warehouse, transport, temperature control and RP appointment.",domain,GDP,Warehouse; GDP RP; Supply Chain; QA,GQD,GMG-GDP-PLN-0001_v0.1_DRAFT_2026-07-19.docx — GDP Domain Implementation Plan,Controlled-Where-Regulated,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,2,19
GMG-QMS-Controlled-Repository/03_GDP/PLN,PLN,Controlled plans with a defined timeframe and deliverables.,document_type,GDP,Warehouse; GDP RP; Supply Chain; QA,GQD,GMG-GDP-PLN-0001_v0.1_DRAFT_2026-07-19.docx — GDP Domain Implementation Plan,Controlled-Where-Regulated,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,20
GMG-QMS-Controlled-Repository/04_PV,04_PV,"Pharmacovigilance quality system: PSMF, QPPV oversight, ICSR handling, signal management, SDEAs.",domain,PV,QPPV; local QA support,QPPV,GMG-PV-AGR-0001_v0.1_DRAFT_2026-07-16.docx — Intercompany PV Agreement (GMG AG–Setonda interface) | GMG-PV-AGR-0004_v0.1_DRAFT_2026-07-16.docx — Safety-Data-Exchange Agreement — EU QPPV (Setonda / ELM Pharma) | GMG-PV-AGR-0005_v0.1_DRAFT_2026-07-21.docx — Intercompany PV Agreement (GMG AG – GMG Grand Medical İlaçları Ltd),GQMS-Controlled,RET-10-PV-SYSTEM,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,2,21
GMG-QMS-Controlled-Repository/04_PV/AGR,AGR,"Quality, technical, intercompany and safety-data-exchange agreements.",document_type,PV,QPPV; local QA support,QPPV,GMG-PV-AGR-0001_v0.1_DRAFT_2026-07-16.docx — Intercompany PV Agreement (GMG AG–Setonda interface) | GMG-PV-AGR-0004_v0.1_DRAFT_2026-07-16.docx — Safety-Data-Exchange Agreement — EU QPPV (Setonda / ELM Pharma) | GMG-PV-AGR-0005_v0.1_DRAFT_2026-07-21.docx — Intercompany PV Agreement (GMG AG – GMG Grand Medical İlaçları Ltd),GQMS-Controlled,RET-10-PV-SYSTEM,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,22
GMG-QMS-Controlled-Repository/04_PV/Annex,Annex,PSMF annexes — filed with the PSMF.,document_type,PV,QPPV; local QA support,QPPV,GMG-PV-MAN-0001-H_v0.2_DRAFT_2026-07-21.xlsx — Pharmacovigilance System Master File (PSMF) | GMG-PV-MAN-0002-A_v0.2_DRAFT_2026-08-01.docx — Setonda Pharmacovigilance System Master File | ORG-SET-v01_Setonda-PV-Organisation_2026-08-03.svg,GQMS-Controlled,RET-10-PV-SYSTEM,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,23
GMG-QMS-Controlled-Repository/04_PV/CHK,CHK,Controlled checklists used for verification and release.,document_type,PV,QPPV; local QA support,QPPV,GMG-PV-CHK-0001_v0.8_DRAFT_2026-07-14.xlsx — GQMS Readiness Check | GMG-PV-CHK-0002_v0.4_DRAFT_2026-08-07.docx — PV Readiness and Harmonisation Audit | GMG-PV-CHK-0003_v0.1_DRAFT_2026-07-14.docx — PV Legacy-to-New Traceability and Harmonisation Audit,GQMS-Controlled,RET-10-PV-SYSTEM,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,24
GMG-QMS-Controlled-Repository/04_PV/FRM,FRM,Controlled blank forms that generate quality records when completed.,document_type,PV,QPPV; local QA support,QPPV,GMG-PV-FRM-0001_v0.1_DRAFT_2026-07-16.docx — AE / ICSR Intake Form (incl. CIOMS I) — the AE intake checklist | GMG-PV-FRM-0002_v0.1_DRAFT_2026-07-16.docx — Signal Validation and Assessment Form | GMG-PV-FRM-0005-BATCH-01_v0.2_DRAFT_2026-07-14.docx — Pharmacovigilance Legacy Document Retirement Record,GQMS-Controlled,RET-10-PV-SYSTEM,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,25
GMG-QMS-Controlled-Repository/04_PV/JDS,JDS,Job descriptions.,document_type,PV,QPPV; local QA support,QPPV,GMG-PV-JDS-0001_PV-Role-Descriptions_v0.1_DRAFT_2026-08-01.docx — PV Role Descriptions,GQMS-Controlled,RET-10-PV-SYSTEM,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,26
GMG-QMS-Controlled-Repository/04_PV/LOG,LOG,Registers and logs — running controlled lists.,document_type,PV,QPPV; local QA support,QPPV,GMG-PV-LOG-0001_v0.1_DRAFT_2026-07-14.xlsx — Legacy Document Mapping and Gap Register | GMG-PV-LOG-0002_v0.1_DRAFT_2026-07-16.xlsx — ICSR Case Register — the safety case log | GMG-PV-LOG-0003_v0.1_DRAFT_2026-07-16.xlsx — Signal Register,GQMS-Controlled,RET-10-PV-SYSTEM,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,27
GMG-QMS-Controlled-Repository/04_PV/LST,LST,"Controlled lists of named persons, contacts or items.",document_type,PV,QPPV; local QA support,QPPV,GMG-PV-LST-0002_v0.1_DRAFT_2026-07-16.xlsx — PV Regulatory-Authority Contact List | GMG-PV-LST-0003_v0.1_DRAFT_2026-07-16.xlsx — PSMF Annex Index / Controlled List | GMG-PV-EU-Reference-Data-Draft_v0.1_DRAFT_2026-08-03.xlsx,GQMS-Controlled,RET-10-PV-SYSTEM,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,28
GMG-QMS-Controlled-Repository/04_PV/MAN,MAN,Manuals — system or quality-system descriptions.,document_type,PV,QPPV; local QA support,QPPV,GMG-PV-MAN-0001-H_v0.1_DRAFT_2026-07-15.xlsx — Pharmacovigilance System Master File (PSMF) | GMG-PV-MAN-0002-H_v0.1_DRAFT_2026-07-15.xlsx — Setonda Pharmacovigilance System Master File | GMG-PVG-MAN-0001_v0.1_SUPERSEDED_2026-07-14.docx,GQMS-Controlled,RET-10-PV-SYSTEM,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,29
GMG-QMS-Controlled-Repository/04_PV/MTX,MTX,"Matrices — governance, RACI, training and control matrices.",document_type,PV,QPPV; local QA support,QPPV,GMG-PV-MTX-0001_v0.1_DRAFT_2026-07-11.xlsx — Country AE / Complaint / Promotional Ownership Matrix | GMG-PV-MTX-0002_v0.1_DRAFT_2026-07-14.xlsx — Country PV Regulatory Requirements Matrix | GMG-PV-MTX-0003_v0.3_DRAFT_2026-08-08.docx — PV – Quality Complaint Reconciliation Interface,GQMS-Controlled,RET-10-PV-SYSTEM,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,30
GMG-QMS-Controlled-Repository/04_PV/PLN,PLN,Controlled plans with a defined timeframe and deliverables.,document_type,PV,QPPV; local QA support,QPPV,GMG-PV-PLN-0001_v0.1_DRAFT_2026-07-14.docx — PV Quality System Gap Analysis and Document Plan | GMG-PV-PLN-0002_v0.3_DRAFT_2026-08-08.docx — PV Training and Competency Plan | GMG-PV-PLN-0003_v0.2_DRAFT_2026-07-14.docx — PV Audit and Inspection-Readiness Programme,GQMS-Controlled,RET-10-PV-SYSTEM,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,31
GMG-QMS-Controlled-Repository/04_PV/RPT,RPT,Controlled technical reports.,document_type,PV,QPPV; local QA support,QPPV,GMG-PV-RPT-0001_v0.1_DRAFT_2026-08-08.docx — PV Technical / Assessment Report,GQMS-Controlled,RET-10-PV-SYSTEM,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,32
GMG-QMS-Controlled-Repository/04_PV/RSK,RSK,Controlled risk assessments.,document_type,PV,QPPV; local QA support,QPPV,GMG-PV-RSK-0001_v0.2_DRAFT_2026-07-16.docx — PV System Boundary and Shared-Element Risk Assessment | GMG-PV-Risk-Acceptance-KZ-Local-Role_v0.1_DRAFT_2026-08-08.docx,GQMS-Controlled,RET-10-PV-SYSTEM,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,33
GMG-QMS-Controlled-Repository/04_PV/SOP,SOP,"Standard operating procedures — who does what, when and with which record.",document_type,PV,QPPV; local QA support,QPPV,"GMG-PV-SOP-0001_v0.13_DRAFT_2026-08-07.docx — PV System Governance and QPPV Roles | GMG-PV-SOP-0002_v0.2_SUPERSEDED_2026-07-16.docx — PSMF Creation, Maintenance and Provision | GMG-PV-SOP-0003_v0.11_DRAFT_2026-08-07.docx — ICSR Management (Individual Case Safety Report Management)",GQMS-Controlled,RET-10-PV-SYSTEM,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,34
GMG-QMS-Controlled-Repository/04_PV/TIA,TIA,Training impact assessments.,document_type,PV,QPPV; local QA support,QPPV,GMG-PV-TIA-0001_Transfer-Impact-Assessment-Di10-PV_v0.1_DRAFT_2026-08-01.docx — Transfer Impact Assessment — Di10 PV,GQMS-Controlled,RET-10-PV-SYSTEM,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,35
GMG-QMS-Controlled-Repository/04_PV/TPL,TPL,Controlled layout and content templates.,document_type,PV,QPPV; local QA support,QPPV,GMG-PV-TPL-0002_v1.3_DRAFT_2026-07-14.docx — PSMF Template (main body + Annexes A–H + PSMF logbook) | GMG-PV-TPL-0004_v0.1_DRAFT_2026-07-16.docx — PV Report / Assessment Template,GQMS-Controlled,RET-10-PV-SYSTEM,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,36
GMG-QMS-Controlled-Repository/04_PV/WIN,WIN,Work instructions — task-level detail below an SOP.,document_type,PV,QPPV; local QA support,QPPV,GMG-PV-WIN-0001_v0.4_DRAFT_2026-07-15.docx — Di10-PV MAH Portal — User Instruction | GMG-PV-WIN-0002_v0.1_DRAFT_2026-08-08.docx — PV Digital / Social-Media Monitoring WI | GMG-PV-WIN-0003_v0.1_DRAFT_2026-08-08.docx — Adverse Event Recognition and Forwarding — work instruction,GQMS-Controlled,RET-10-PV-SYSTEM,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,37
GMG-QMS-Controlled-Repository/05_RAF,05_RAF,"Regulatory affairs: dossier lifecycle, variations, commitments and authority correspondence.",domain,RAF,GRA; QA; QP; QC; R&D; PTM,GRA,GMG-RAF-LOG-0001_v0.1_DRAFT_2026-07-16.xlsx — Product–Market–MAH and Marketing Authorisation Register | GMG-RAF-MEM-0001_v0.1_DRAFT_2026-07-11.docx — WDA / Responsible Person Regulatory Position Memo | GMG-RAF-PLN-0001_v0.1_DRAFT_2026-07-19.docx — Regulatory Affairs Domain Implementation Plan,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,2,38
GMG-QMS-Controlled-Repository/05_RAF/LOG,LOG,Registers and logs — running controlled lists.,document_type,RAF,GRA; QA; QP; QC; R&D; PTM,GRA,GMG-RAF-LOG-0001_v0.1_DRAFT_2026-07-16.xlsx — Product–Market–MAH and Marketing Authorisation Register,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,39
GMG-QMS-Controlled-Repository/05_RAF/MEM,MEM,Memoranda and controlled position papers.,document_type,RAF,GRA; QA; QP; QC; R&D; PTM,GRA,GMG-RAF-MEM-0001_v0.1_DRAFT_2026-07-11.docx — WDA / Responsible Person Regulatory Position Memo,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,40
GMG-QMS-Controlled-Repository/05_RAF/PLN,PLN,Controlled plans with a defined timeframe and deliverables.,document_type,RAF,GRA; QA; QP; QC; R&D; PTM,GRA,GMG-RAF-PLN-0001_v0.1_DRAFT_2026-07-19.docx — Regulatory Affairs Domain Implementation Plan,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,41
GMG-QMS-Controlled-Repository/06_NUT,06_NUT,Food supplement / nutraceutical quality system under HACCP and food law.,domain,NUT,Site QA (food),TBC — not evidenced in PQS matrix,GMG-NUT-AGR-0001_v0.1_DRAFT_2026-08-01.docx — Quality and Technical Agreement — Food Supplements (Template) | GMG-NUT-CHK-0001_v0.1_DRAFT_2026-08-01.docx — Site Food-Safety and HACCP Readiness Checklist | GMG-NUT-CHK-0002_v0.1_DRAFT_2026-08-01.docx — NUT Go-Live Readiness Checklist,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,2,42
GMG-QMS-Controlled-Repository/06_NUT/AGR,AGR,"Quality, technical, intercompany and safety-data-exchange agreements.",document_type,NUT,Site QA (food),TBC — not evidenced in PQS matrix,GMG-NUT-AGR-0001_v0.1_DRAFT_2026-08-01.docx — Quality and Technical Agreement — Food Supplements (Template),GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,43
GMG-QMS-Controlled-Repository/06_NUT/CHK,CHK,Controlled checklists used for verification and release.,document_type,NUT,Site QA (food),TBC — not evidenced in PQS matrix,GMG-NUT-CHK-0001_v0.1_DRAFT_2026-08-01.docx — Site Food-Safety and HACCP Readiness Checklist | GMG-NUT-CHK-0002_v0.1_DRAFT_2026-08-01.docx — NUT Go-Live Readiness Checklist,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,44
GMG-QMS-Controlled-Repository/06_NUT/FRM,FRM,Controlled blank forms that generate quality records when completed.,document_type,NUT,Site QA (food),TBC — not evidenced in PQS matrix,GMG-NUT-FRM-0001_v0.2_DRAFT_2026-08-01.docx — Product Classification and Novel Food Status Assessment | GMG-NUT-FRM-0002_v0.4_DRAFT_2026-08-01.docx — Market Launch and First Commercial Supply Authorisation | GMG-NUT-FRM-0003_v0.2_DRAFT_2026-08-01.docx — Product Development and Stage-Gate Checklist,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,45
GMG-QMS-Controlled-Repository/06_NUT/LOG,LOG,Registers and logs — running controlled lists.,document_type,NUT,Site QA (food),TBC — not evidenced in PQS matrix,GMG-NUT-LOG-0001_v0.3_DRAFT_2026-08-01.xlsx — Food Supplement Product & Composition Register,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,46
GMG-QMS-Controlled-Repository/06_NUT/MTX,MTX,"Matrices — governance, RACI, training and control matrices.",document_type,NUT,Site QA (food),TBC — not evidenced in PQS matrix,GMG-NUT-MTX-0001_v0.4_DRAFT_2026-08-01.xlsx — Product–Market Responsibility and Legal-Entity Matrix | GMG-NUT-MTX-0002_v0.2_DRAFT_2026-08-01.xlsx — Country Regulatory Requirements Matrix (Food Supplements),GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,47
GMG-QMS-Controlled-Repository/06_NUT/PLN,PLN,Controlled plans with a defined timeframe and deliverables.,document_type,NUT,Site QA (food),TBC — not evidenced in PQS matrix,GMG-NUT-PLN-0001_v0.2_DRAFT_2026-08-01.docx — Food Supplement Quality System Establishment Plan,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,48
GMG-QMS-Controlled-Repository/06_NUT/RSK,RSK,Controlled risk assessments.,document_type,NUT,Site QA (food),TBC — not evidenced in PQS matrix,GMG-NUT-RSK-0001_v0.1_DRAFT_2026-08-01.docx — Food-Fraud and Authenticity Vulnerability Assessment (Template),GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,49
GMG-QMS-Controlled-Repository/06_NUT/SOP,SOP,"Standard operating procedures — who does what, when and with which record.",document_type,NUT,Site QA (food),TBC — not evidenced in PQS matrix,"GMG-NUT-SOP-0001_v0.5_DRAFT_2026-08-01.docx — Food Supplement Quality System — Governance and Scope | GMG-NUT-SOP-0002_v0.5_DRAFT_2026-08-01.docx — Product Development, Composition and Specification Control | GMG-NUT-SOP-0003_v0.4_DRAFT_2026-08-01.docx — Ingredient, Packaging Material and Incoming-Control Requirements for Food Supplements",GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,50
GMG-QMS-Controlled-Repository/06_NUT/TPL,TPL,Controlled layout and content templates.,document_type,NUT,Site QA (food),TBC — not evidenced in PQS matrix,GMG-NUT-TPL-0001_v0.1_DRAFT_2026-08-01.docx — HACCP Plan (Template) | GMG-NUT-TPL-0002_v0.1_DRAFT_2026-08-01.docx — Local PRP / Operational Procedure (Template),GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,51
GMG-QMS-Controlled-Repository/08_CSV,08_CSV,"Computerised system validation for GxP systems: plans, assessments, tests and reports.",domain,CSV,QA; System Owners,GQD,GMG-CSV-PLN-0001_v0.1_DRAFT_2026-07-19.docx — CSV Domain Implementation Plan | GMG-PV-Di10-PV-Acceptance-Criteria_v0.1_DRAFT_2026-08-03.docx | GMG-PV-Di10-PV-Acceptance-Criteria_v0.1_DRAFT_2026-08-03.pdf,GQMS-Controlled,RET-07-CSV-SYSTEM,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,2,52
GMG-QMS-Controlled-Repository/08_CSV/PLN,PLN,Controlled plans with a defined timeframe and deliverables.,document_type,CSV,QA; System Owners,GQD,GMG-CSV-PLN-0001_v0.1_DRAFT_2026-07-19.docx — CSV Domain Implementation Plan,GQMS-Controlled,RET-07-CSV-SYSTEM,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,53
GMG-QMS-Controlled-Repository/10_RND,10_RND,"Regulated R&D and technical development, formulation and technology transfer.",domain,RND,R&D; QC; PTM; QA,GQD / GRA where applicable,"GMG-RND-LOG-0001_v0.4_DRAFT_2026-07-11.xlsx — Product and Composition Register | GMG-RND-PLN-0001_v0.1_DRAFT_2026-07-19.docx — R&D Domain Implementation Plan | GMG-RND-SOP-0001_v0.4_DRAFT_2026-07-11.docx — Product and API Development, Formulation and Composition Control",GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,2,54
GMG-QMS-Controlled-Repository/10_RND/LOG,LOG,Registers and logs — running controlled lists.,document_type,RND,R&D; QC; PTM; QA,GQD / GRA where applicable,GMG-RND-LOG-0001_v0.4_DRAFT_2026-07-11.xlsx — Product and Composition Register,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,55
GMG-QMS-Controlled-Repository/10_RND/PLN,PLN,Controlled plans with a defined timeframe and deliverables.,document_type,RND,R&D; QC; PTM; QA,GQD / GRA where applicable,GMG-RND-PLN-0001_v0.1_DRAFT_2026-07-19.docx — R&D Domain Implementation Plan,GQMS-Controlled,RET-01-CONTROLLED-DOC,yes,GMG-QMS-LOG-0001 (Document Master Register),yes,,3,56
