"URS ID","Requirement","Priority","Verification Method","Linked Protocol Test","New Test Required","Status"
"URS-031","The system shall implement lifecycle as a state machine with explicitly permitted transitions. Transitions not defined shall be impossible, not merely","M","Operational qualification","OQ-03","No","NOT EXECUTED"
"URS-032","Each transition shall require the role authorised for it, and shall capture evidence, reason, actor and timestamp.","M","Operational qualification","OQ-04","No","NOT EXECUTED"
"URS-033","The system shall enforce that exactly one version of a document code is in the Effective state at any time.","M","Operational qualification","OQ-03","No","NOT EXECUTED"
"URS-034","On a version becoming Effective, the system shall transition the prior Effective version to Superseded automatically and atomically.","M","Operational qualification","OQ-03","No","NOT EXECUTED"
"URS-035","Superseded and Retired shall be distinct, separately reportable states. Superseded means replaced by a later version; Retired means withdrawn without ","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-036","The system shall support a documented state for content that is void or withdrawn before ever becoming effective, or shall map such content explicitly","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-037","The system shall prevent a document from entering Effective without a completed approval record and an applied electronic signature.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-038","Version identifiers shall be system-controlled. Users shall not be able to set or edit a version number directly.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-040","The system shall distinguish controlled documents from quality records as separate object classes with separate rules.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-041","A quality record shall not be assigned a controlled-document lifecycle state.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-042","A completed quality record shall not be overwritten or deleted by any role, including any administrative role.","M","Operational qualification","OQ-03","No","NOT EXECUTED"
"URS-043","Correction of a completed record shall be by controlled correction or append only, preserving the original content and recording reason, actor and tim","M","Operational qualification","OQ-03","No","NOT EXECUTED"
"URS-044","A quality record shall carry a mandatory record class from the approved list.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-045","A quality record shall not carry a document version unless its record type has an approved revision lifecycle.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-050","The system shall support a parent-child relationship between a controlled document and its components — annexes, figures, checklists and attachments.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-051","A component shall be reachable from its parent and shall identify its parent.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-052","The system shall support both models by configuration: components versioned with the parent, and components versioned independently. The applicable ru","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-053","Where components version with the parent, a parent transition shall carry its components with it.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-054","The system shall prevent a component from being made Effective independently where the configured rule is that it versions with its parent.","S","Design review / supplier evidence","—","YES","NOT EXECUTED"
"URS-060","The system shall not permit a controlled document to exist without a register entry. Creation of the object and creation of its register entry shall b","M","Installation qualification","IQ-06","No","NOT EXECUTED"
"URS-061","Document code uniqueness shall be enforced by the system at the point of allocation.","M","Installation qualification","IQ-06","No","NOT EXECUTED"
"URS-062","The system shall allocate document codes and permanent UIDs from controlled sequences, and shall not permit manual allocation.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-063","On ingestion the system shall compute and store a cryptographic hash of every object.","M","Installation qualification","IQ-01","No","NOT EXECUTED"
"URS-064","On ingestion the system shall detect content already present by hash and shall require an explicit disposition rather than creating a second instance.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-065","The system shall exclude operating-system metadata artefacts from ingestion by configurable rule, and shall report what it excluded so that counts rec","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-066","The system shall reject or quarantine any object that cannot be assigned a valid entity, domain, type and record class, rather than assigning a defaul","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-070","Access shall be granted to roles, never to named individuals by exception.","M","Operational qualification","OQ-01","No","NOT EXECUTED"
"URS-071","The system shall implement all approved permission profiles, each expressing read, create, modify, approve or transition, delete or dispose, and exter","M","Operational qualification","OQ-01","No","NOT EXECUTED"
"URS-072","Effective permission shall be determined by the combination of entity, zone, domain and record class, not by storage location.","M","Operational qualification","OQ-01","No","NOT EXECUTED"
"URS-073","No permission profile shall be capable of granting overwrite or deletion of a completed quality record.","M","Operational qualification","OQ-03","No","NOT EXECUTED"
"URS-074","The system shall enforce negative access: a role outside the scope of a profile shall be denied, and the denial shall be recorded.","M","Operational qualification","OQ-02","No","NOT EXECUTED"
"URS-075","The system shall support joiner, mover and leaver processing, removing access on leaving and requiring recertification on moving.","M","Operational qualification","OQ-02","No","NOT EXECUTED"
"URS-076","The system shall support periodic access review and produce evidence of it.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-077","External sharing shall be possible only through an approved route, shall be time-limited, and shall be recorded.","M","Operational qualification","OQ-02","No","NOT EXECUTED"
"URS-078","Entity segregation shall be enforced such that a role scoped to one legal entity cannot read another entity's records except through an approved cross","M","Operational qualification","OQ-02","No","NOT EXECUTED"
"URS-080","Legal hold shall be a single object applied to a matter, capable of spanning entities, domains and record classes.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-081","Legal hold shall override retention, disposition and deletion for every object it covers.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-082","No role, including any administrative role, shall be able to delete or dispose of an object under legal hold.","M","Operational qualification","OQ-02","No","NOT EXECUTED"
"URS-083","The system shall report every object under a given hold, completely, from a single query.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-084","Retention schedules shall be metadata-driven, applied by record class and entity.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-085","Disposition shall require approval, shall be recorded, and shall never be a user action.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-086","The system shall report objects eligible for disposition and shall not dispose of them automatically.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-090","The system shall maintain an audit trail that is attributable, legible, contemporaneous, original and accurate.","M","Operational qualification","OQ-04","No","NOT EXECUTED"
"URS-091","The audit trail shall record creation, modification, lifecycle transition, permission change, hold application and release, disposition, and every den","M","Operational qualification","OQ-04","No","NOT EXECUTED"
"URS-092","The audit trail shall not be editable or erasable by any role.","M","Operational qualification","OQ-04","No","NOT EXECUTED"
"URS-093","The audit trail shall be retained for at least the retention period of the record it describes.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-094","The audit trail shall be reviewable and exportable without vendor intervention.","M","Operational qualification","OQ-04","No","NOT EXECUTED"
"URS-095","Electronic signatures, where used, shall be linked to their records and shall capture signer, date, time and meaning of signature.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-100","Users shall be able to search on any classification attribute and any combination of them.","M","User acceptance test","UAT-01","No","NOT EXECUTED"
"URS-101","The system shall provide multiple navigation views over the same objects — by entity, by domain, by type, by lifecycle state and by record class — wit","M","User acceptance test","UAT-01","No","NOT EXECUTED"
"URS-102","Search results shall be filtered by the user's effective permissions, and the existence of records the user may not read shall not be disclosed.","M","User acceptance test","UAT-01","No","NOT EXECUTED"
"URS-103","The system shall retrieve the current Effective version of a document code in a single step.","M","User acceptance test","UAT-01","No","NOT EXECUTED"
"URS-104","The system shall present the complete version history of a document code, including Superseded and Retired versions, to authorised roles.","M","User acceptance test","UAT-01","No","NOT EXECUTED"
"URS-110","The system shall ingest objects together with pre-recorded source hashes and shall verify each hash after ingestion.","M","Installation qualification","IQ-01","No","NOT EXECUTED"
"URS-111","The system shall produce a reconciliation report of expected against actual, itemising every discrepancy.","M","Installation qualification","IQ-02","No","NOT EXECUTED"
"URS-112","The system shall support loading objects in a held or unclassified state where classification is not yet determined, and shall prevent their operation","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-113","The system shall not assign a default classification to an object whose classification is undetermined.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-114","Migration shall be reversible. The system shall support removal of a migrated set and restoration of the prior state within an agreed recovery objecti","M","User acceptance test","UAT-02","No","NOT EXECUTED"
"URS-115","The source estate shall not be modified or deleted by any migration activity.","M","User acceptance test","UAT-02","No","NOT EXECUTED"
"URS-120","Where an approved system of record exists for a class of data — ERP, CRM, HRIS, RIM, PV or QMS — this system shall hold a link or a controlled read-on","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-121","The system shall record, per record class, which system is authoritative.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-122","Any export produced by the system shall be marked as a copy and shall not be presentable as the authoritative record.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-123","On go-live the folder tree shall cease to be maintained independently and shall be either generated from this system or formally retired.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-130","The system and its data shall be owned by the organisation, not by an individual account, and shall survive the departure of any individual.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-131","Recovery point objective shall not exceed 4 hours and recovery time objective shall not exceed 8 hours for the production system. A full restoration t","M","Operational qualification","OQ-04","No","NOT EXECUTED"
"URS-131a","Retrieval of any single object by document code shall complete within 3 seconds at the 95th percentile under normal load.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-131b","The system shall accept individual objects of at least 500 MB and shall support the formats present in the estate: docx, xlsx, pdf, png, txt, and shal","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-131c","Batch ingestion shall sustain at least 1,000 objects per hour with hash verification.","S","Design review / supplier evidence","—","YES","NOT EXECUTED"
"URS-131d","The system shall provide monitoring and alerting for failed ingestion, failed backup, failed transition and permission-change events.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-132","The system shall integrate with the organisation's identity provider for authentication and group membership.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-133","The system shall support at minimum 50,000 objects, 500 GB of content and 100 concurrent users, with headroom for 5 years of growth at the observed ra","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-134","The system shall not impose a limit on classification depth that is shallower than the approved model requires.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-135","Availability, support and escalation shall be defined in a service level agreement.","S","Design review / supplier evidence","—","YES","NOT EXECUTED"
"URS-136","Data shall be exportable in an open, documented format on termination, including metadata and audit trail.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-137","The system shall expose a documented API sufficient to search and retrieve content and metadata under the caller's own permissions.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-138","Programmatic and AI access shall be authenticated as the requesting user and constrained by that user's effective permission profile. Service accounts","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-139","Every programmatic and AI retrieval shall be recorded in the audit trail with the requesting user, the query and the objects returned.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-140","The supplier shall be assessed and the assessment recorded before contract.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-141","The system shall be validated in accordance with GMG's computerised system validation approach, proportionate to its GxP classification.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-142","Installation, operational and performance qualification shall be executed against approved protocols by a named executor with independent review.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-143","A traceability matrix shall link every requirement in this specification to at least one executed test.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-144","Negative testing shall be executed for every permission profile and for completed-record overwrite prevention.","M","Test script to be authored","—","YES","NOT EXECUTED"
"URS-145","No requirement in this specification shall be closed by vendor assertion alone.","M","Test script to be authored","—","YES","NOT EXECUTED"
