Explicit Path,Level,Permission Profile,Entity,Technical Group,Scope Action,Atomic Profile,Owner Role
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/00_Group_Shared,2,PS-MGMT-RESTRICTED,00_Group_Shared,GMG-REPO-MGMT-RESTRICTED-GRP,inherit from parent,YES,CEO / Corporate Secretary
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/00_Group_Shared/01_Corporate_Governance_Framework,3,PS-MGMT-RESTRICTED,00_Group_Shared,GMG-REPO-MGMT-RESTRICTED-GRP,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/00_Group_Shared/02_Strategy_and_Business_Plans,3,PS-MGMT-RESTRICTED,00_Group_Shared,GMG-REPO-MGMT-RESTRICTED-GRP,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/00_Group_Shared/03_Organisation_and_Operating_Model,3,PS-MGMT-RESTRICTED,00_Group_Shared,GMG-REPO-MGMT-RESTRICTED-GRP,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/00_Group_Shared/04_Committees_and_Management_Decisions,3,PS-MGMT-RESTRICTED,00_Group_Shared,GMG-REPO-MGMT-RESTRICTED-GRP,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/00_Group_Shared/05_Enterprise_Risk_and_Internal_Control,3,PS-MGMT-RESTRICTED,00_Group_Shared,GMG-REPO-MGMT-RESTRICTED-GRP,inherit from parent,YES,CEO / Corporate Secretary — TBC
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/00_Group_Shared/06_Delegations_Authorities_and_Policies,3,PS-MGMT-RESTRICTED,00_Group_Shared,GMG-REPO-MGMT-RESTRICTED-GRP,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/00_Group_Shared/07_KPIs_and_Management_Performance,3,PS-MGMT-RESTRICTED,00_Group_Shared,GMG-REPO-MGMT-RESTRICTED-GRP,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/00_Group_Shared/08_Legal_Entity_Governance,3,PS-MGMT-RESTRICTED,00_Group_Shared,GMG-REPO-MGMT-RESTRICTED-GRP,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/00_Group_Shared/09_Approved_Transformation_Roadmaps,3,PS-MGMT-RESTRICTED,00_Group_Shared,GMG-REPO-MGMT-RESTRICTED-GRP,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/00_Group_Shared/10_Closed_Governance_Records,3,PS-MGMT-RESTRICTED,00_Group_Shared,GMG-REPO-MGMT-RESTRICTED-GRP,inherit from parent,YES,CEO / Corporate Secretary — TBC
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/00_Group_Shared/50_Executive_Committee,3,PS-MGMT-RESTRICTED,00_Group_Shared,GMG-REPO-MGMT-RESTRICTED-GRP,inherit from parent,YES,CEO / Corporate Secretary — TBC
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/00_Group_Shared/51_Management_Review_and_Quality_Council,3,PS-MGMT-RESTRICTED,00_Group_Shared,GMG-REPO-MGMT-RESTRICTED-GRP,inherit from parent,YES,CEO / Corporate Secretary — TBC
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/00_Group_Shared/52_Strategy_and_Portfolio_Governance,3,PS-MGMT-RESTRICTED,00_Group_Shared,GMG-REPO-MGMT-RESTRICTED-GRP,inherit from parent,YES,CEO / Corporate Secretary — TBC
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/00_Group_Shared/53_Corporate_Policies_and_Delegations,3,PS-MGMT-RESTRICTED,00_Group_Shared,GMG-REPO-MGMT-RESTRICTED-GRP,inherit from parent,YES,CEO / Corporate Secretary — TBC
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/00_Group_Shared/54_Committee_Charters_and_Minutes,3,PS-MGMT-RESTRICTED,00_Group_Shared,GMG-REPO-MGMT-RESTRICTED-GRP,inherit from parent,YES,CEO / Corporate Secretary — TBC
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/00_Group_Shared/55_Material_Decisions_and_Approvals,3,PS-MGMT-RESTRICTED,00_Group_Shared,GMG-REPO-MGMT-RESTRICTED-GRP,inherit from parent,YES,CEO / Corporate Secretary — TBC
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/00_Group_Shared/56_Corporate_Registers_and_Statutory_Records,3,PS-MGMT-RESTRICTED,00_Group_Shared,GMG-REPO-MGMT-RESTRICTED-GRP,inherit from parent,YES,CEO / Corporate Secretary — TBC
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/10_GMG_AG_CH,2,PS-MGMT-RESTRICTED,10_GMG_AG_CH,GMG-REPO-MGMT-RESTRICTED-CH,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/10_GMG_AG_CH/01_Corporate_Governance_Framework,3,PS-MGMT-RESTRICTED,10_GMG_AG_CH,GMG-REPO-MGMT-RESTRICTED-CH,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/10_GMG_AG_CH/02_Strategy_and_Business_Plans,3,PS-MGMT-RESTRICTED,10_GMG_AG_CH,GMG-REPO-MGMT-RESTRICTED-CH,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/10_GMG_AG_CH/03_Organisation_and_Operating_Model,3,PS-MGMT-RESTRICTED,10_GMG_AG_CH,GMG-REPO-MGMT-RESTRICTED-CH,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/10_GMG_AG_CH/04_Committees_and_Management_Decisions,3,PS-MGMT-RESTRICTED,10_GMG_AG_CH,GMG-REPO-MGMT-RESTRICTED-CH,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/10_GMG_AG_CH/05_Enterprise_Risk_and_Internal_Control,3,PS-MGMT-RESTRICTED,10_GMG_AG_CH,GMG-REPO-MGMT-RESTRICTED-CH,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/10_GMG_AG_CH/06_Delegations_Authorities_and_Policies,3,PS-MGMT-RESTRICTED,10_GMG_AG_CH,GMG-REPO-MGMT-RESTRICTED-CH,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/10_GMG_AG_CH/07_KPIs_and_Management_Performance,3,PS-MGMT-RESTRICTED,10_GMG_AG_CH,GMG-REPO-MGMT-RESTRICTED-CH,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/10_GMG_AG_CH/08_Legal_Entity_Governance,3,PS-MGMT-RESTRICTED,10_GMG_AG_CH,GMG-REPO-MGMT-RESTRICTED-CH,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/10_GMG_AG_CH/09_Approved_Transformation_Roadmaps,3,PS-MGMT-RESTRICTED,10_GMG_AG_CH,GMG-REPO-MGMT-RESTRICTED-CH,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/10_GMG_AG_CH/10_Closed_Governance_Records,3,PS-MGMT-RESTRICTED,10_GMG_AG_CH,GMG-REPO-MGMT-RESTRICTED-CH,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/30_GM_Poland_PL,2,PS-MGMT-RESTRICTED,30_GM_Poland_PL,GMG-REPO-MGMT-RESTRICTED-PL,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/30_GM_Poland_PL/01_Corporate_Governance_Framework,3,PS-MGMT-RESTRICTED,30_GM_Poland_PL,GMG-REPO-MGMT-RESTRICTED-PL,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/30_GM_Poland_PL/02_Strategy_and_Business_Plans,3,PS-MGMT-RESTRICTED,30_GM_Poland_PL,GMG-REPO-MGMT-RESTRICTED-PL,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/30_GM_Poland_PL/03_Organisation_and_Operating_Model,3,PS-MGMT-RESTRICTED,30_GM_Poland_PL,GMG-REPO-MGMT-RESTRICTED-PL,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/30_GM_Poland_PL/04_Committees_and_Management_Decisions,3,PS-MGMT-RESTRICTED,30_GM_Poland_PL,GMG-REPO-MGMT-RESTRICTED-PL,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/30_GM_Poland_PL/05_Enterprise_Risk_and_Internal_Control,3,PS-MGMT-RESTRICTED,30_GM_Poland_PL,GMG-REPO-MGMT-RESTRICTED-PL,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/30_GM_Poland_PL/06_Delegations_Authorities_and_Policies,3,PS-MGMT-RESTRICTED,30_GM_Poland_PL,GMG-REPO-MGMT-RESTRICTED-PL,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/30_GM_Poland_PL/07_KPIs_and_Management_Performance,3,PS-MGMT-RESTRICTED,30_GM_Poland_PL,GMG-REPO-MGMT-RESTRICTED-PL,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/30_GM_Poland_PL/08_Legal_Entity_Governance,3,PS-MGMT-RESTRICTED,30_GM_Poland_PL,GMG-REPO-MGMT-RESTRICTED-PL,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/30_GM_Poland_PL/09_Approved_Transformation_Roadmaps,3,PS-MGMT-RESTRICTED,30_GM_Poland_PL,GMG-REPO-MGMT-RESTRICTED-PL,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/30_GM_Poland_PL/10_Closed_Governance_Records,3,PS-MGMT-RESTRICTED,30_GM_Poland_PL,GMG-REPO-MGMT-RESTRICTED-PL,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/40_Miquel_y_Garriga_SL_ES,2,PS-MGMT-RESTRICTED,40_Miquel_y_Garriga_SL_ES,GMG-REPO-MGMT-RESTRICTED-MYG,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/40_Miquel_y_Garriga_SL_ES/01_Corporate_Governance_Framework,3,PS-MGMT-RESTRICTED,40_Miquel_y_Garriga_SL_ES,GMG-REPO-MGMT-RESTRICTED-MYG,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/40_Miquel_y_Garriga_SL_ES/02_Strategy_and_Business_Plans,3,PS-MGMT-RESTRICTED,40_Miquel_y_Garriga_SL_ES,GMG-REPO-MGMT-RESTRICTED-MYG,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/40_Miquel_y_Garriga_SL_ES/03_Organisation_and_Operating_Model,3,PS-MGMT-RESTRICTED,40_Miquel_y_Garriga_SL_ES,GMG-REPO-MGMT-RESTRICTED-MYG,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/40_Miquel_y_Garriga_SL_ES/04_Committees_and_Management_Decisions,3,PS-MGMT-RESTRICTED,40_Miquel_y_Garriga_SL_ES,GMG-REPO-MGMT-RESTRICTED-MYG,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/40_Miquel_y_Garriga_SL_ES/05_Enterprise_Risk_and_Internal_Control,3,PS-MGMT-RESTRICTED,40_Miquel_y_Garriga_SL_ES,GMG-REPO-MGMT-RESTRICTED-MYG,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/40_Miquel_y_Garriga_SL_ES/06_Delegations_Authorities_and_Policies,3,PS-MGMT-RESTRICTED,40_Miquel_y_Garriga_SL_ES,GMG-REPO-MGMT-RESTRICTED-MYG,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/40_Miquel_y_Garriga_SL_ES/07_KPIs_and_Management_Performance,3,PS-MGMT-RESTRICTED,40_Miquel_y_Garriga_SL_ES,GMG-REPO-MGMT-RESTRICTED-MYG,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/40_Miquel_y_Garriga_SL_ES/08_Legal_Entity_Governance,3,PS-MGMT-RESTRICTED,40_Miquel_y_Garriga_SL_ES,GMG-REPO-MGMT-RESTRICTED-MYG,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/40_Miquel_y_Garriga_SL_ES/09_Approved_Transformation_Roadmaps,3,PS-MGMT-RESTRICTED,40_Miquel_y_Garriga_SL_ES,GMG-REPO-MGMT-RESTRICTED-MYG,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/40_Miquel_y_Garriga_SL_ES/10_Closed_Governance_Records,3,PS-MGMT-RESTRICTED,40_Miquel_y_Garriga_SL_ES,GMG-REPO-MGMT-RESTRICTED-MYG,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/50_GMG_Ilaclari_LTD_TR,2,PS-MGMT-RESTRICTED,50_GMG_Ilaclari_LTD_TR,GMG-REPO-MGMT-RESTRICTED-TR,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/50_GMG_Ilaclari_LTD_TR/01_Corporate_Governance_Framework,3,PS-MGMT-RESTRICTED,50_GMG_Ilaclari_LTD_TR,GMG-REPO-MGMT-RESTRICTED-TR,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/50_GMG_Ilaclari_LTD_TR/02_Strategy_and_Business_Plans,3,PS-MGMT-RESTRICTED,50_GMG_Ilaclari_LTD_TR,GMG-REPO-MGMT-RESTRICTED-TR,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/50_GMG_Ilaclari_LTD_TR/03_Organisation_and_Operating_Model,3,PS-MGMT-RESTRICTED,50_GMG_Ilaclari_LTD_TR,GMG-REPO-MGMT-RESTRICTED-TR,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/50_GMG_Ilaclari_LTD_TR/04_Committees_and_Management_Decisions,3,PS-MGMT-RESTRICTED,50_GMG_Ilaclari_LTD_TR,GMG-REPO-MGMT-RESTRICTED-TR,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/50_GMG_Ilaclari_LTD_TR/05_Enterprise_Risk_and_Internal_Control,3,PS-MGMT-RESTRICTED,50_GMG_Ilaclari_LTD_TR,GMG-REPO-MGMT-RESTRICTED-TR,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/50_GMG_Ilaclari_LTD_TR/06_Delegations_Authorities_and_Policies,3,PS-MGMT-RESTRICTED,50_GMG_Ilaclari_LTD_TR,GMG-REPO-MGMT-RESTRICTED-TR,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/50_GMG_Ilaclari_LTD_TR/07_KPIs_and_Management_Performance,3,PS-MGMT-RESTRICTED,50_GMG_Ilaclari_LTD_TR,GMG-REPO-MGMT-RESTRICTED-TR,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/50_GMG_Ilaclari_LTD_TR/08_Legal_Entity_Governance,3,PS-MGMT-RESTRICTED,50_GMG_Ilaclari_LTD_TR,GMG-REPO-MGMT-RESTRICTED-TR,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/50_GMG_Ilaclari_LTD_TR/09_Approved_Transformation_Roadmaps,3,PS-MGMT-RESTRICTED,50_GMG_Ilaclari_LTD_TR,GMG-REPO-MGMT-RESTRICTED-TR,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/50_GMG_Ilaclari_LTD_TR/10_Closed_Governance_Records,3,PS-MGMT-RESTRICTED,50_GMG_Ilaclari_LTD_TR,GMG-REPO-MGMT-RESTRICTED-TR,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/80_Cross_Entity,2,PS-MGMT-RESTRICTED,80_Cross_Entity,GMG-REPO-MGMT-RESTRICTED-XE,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/80_Cross_Entity/01_Corporate_Governance_Framework,3,PS-MGMT-RESTRICTED,80_Cross_Entity,GMG-REPO-MGMT-RESTRICTED-XE,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/80_Cross_Entity/02_Strategy_and_Business_Plans,3,PS-MGMT-RESTRICTED,80_Cross_Entity,GMG-REPO-MGMT-RESTRICTED-XE,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/80_Cross_Entity/03_Organisation_and_Operating_Model,3,PS-MGMT-RESTRICTED,80_Cross_Entity,GMG-REPO-MGMT-RESTRICTED-XE,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/80_Cross_Entity/04_Committees_and_Management_Decisions,3,PS-MGMT-RESTRICTED,80_Cross_Entity,GMG-REPO-MGMT-RESTRICTED-XE,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/80_Cross_Entity/05_Enterprise_Risk_and_Internal_Control,3,PS-MGMT-RESTRICTED,80_Cross_Entity,GMG-REPO-MGMT-RESTRICTED-XE,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/80_Cross_Entity/06_Delegations_Authorities_and_Policies,3,PS-MGMT-RESTRICTED,80_Cross_Entity,GMG-REPO-MGMT-RESTRICTED-XE,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/80_Cross_Entity/07_KPIs_and_Management_Performance,3,PS-MGMT-RESTRICTED,80_Cross_Entity,GMG-REPO-MGMT-RESTRICTED-XE,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/80_Cross_Entity/08_Legal_Entity_Governance,3,PS-MGMT-RESTRICTED,80_Cross_Entity,GMG-REPO-MGMT-RESTRICTED-XE,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/80_Cross_Entity/09_Approved_Transformation_Roadmaps,3,PS-MGMT-RESTRICTED,80_Cross_Entity,GMG-REPO-MGMT-RESTRICTED-XE,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/80_Cross_Entity/10_Closed_Governance_Records,3,PS-MGMT-RESTRICTED,80_Cross_Entity,GMG-REPO-MGMT-RESTRICTED-XE,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/90_External_or_Joint_Ventures,2,PS-MGMT-RESTRICTED,90_External_or_Joint_Ventures,GMG-REPO-MGMT-RESTRICTED-EXT,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/90_External_or_Joint_Ventures/01_Corporate_Governance_Framework,3,PS-MGMT-RESTRICTED,90_External_or_Joint_Ventures,GMG-REPO-MGMT-RESTRICTED-EXT,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/90_External_or_Joint_Ventures/02_Strategy_and_Business_Plans,3,PS-MGMT-RESTRICTED,90_External_or_Joint_Ventures,GMG-REPO-MGMT-RESTRICTED-EXT,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/90_External_or_Joint_Ventures/03_Organisation_and_Operating_Model,3,PS-MGMT-RESTRICTED,90_External_or_Joint_Ventures,GMG-REPO-MGMT-RESTRICTED-EXT,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/90_External_or_Joint_Ventures/04_Committees_and_Management_Decisions,3,PS-MGMT-RESTRICTED,90_External_or_Joint_Ventures,GMG-REPO-MGMT-RESTRICTED-EXT,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/90_External_or_Joint_Ventures/05_Enterprise_Risk_and_Internal_Control,3,PS-MGMT-RESTRICTED,90_External_or_Joint_Ventures,GMG-REPO-MGMT-RESTRICTED-EXT,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/90_External_or_Joint_Ventures/06_Delegations_Authorities_and_Policies,3,PS-MGMT-RESTRICTED,90_External_or_Joint_Ventures,GMG-REPO-MGMT-RESTRICTED-EXT,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/90_External_or_Joint_Ventures/07_KPIs_and_Management_Performance,3,PS-MGMT-RESTRICTED,90_External_or_Joint_Ventures,GMG-REPO-MGMT-RESTRICTED-EXT,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/90_External_or_Joint_Ventures/08_Legal_Entity_Governance,3,PS-MGMT-RESTRICTED,90_External_or_Joint_Ventures,GMG-REPO-MGMT-RESTRICTED-EXT,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/90_External_or_Joint_Ventures/09_Approved_Transformation_Roadmaps,3,PS-MGMT-RESTRICTED,90_External_or_Joint_Ventures,GMG-REPO-MGMT-RESTRICTED-EXT,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/01_Enterprise_Governance_and_Strategy/90_External_or_Joint_Ventures/10_Closed_Governance_Records,3,PS-MGMT-RESTRICTED,90_External_or_Joint_Ventures,GMG-REPO-MGMT-RESTRICTED-EXT,inherit from parent,YES,CEO / Corporate Secretary / Entity Management
GMG_Enterprise_Repository/02_GQMS_Controlled_Repository,1,PS-GQMS-DOCUMENTS + PS-GQMS-RECORDS,GROUP,UNRESOLVED,BREAK INHERITANCE — apply explicitly,NO — CANNOT BIND,GQD / QA Documentation / Company QA
