Profile ID,Scope,Read,Create / Add,Modify / Correct,Delete / Dispose,Approve / Transition,External Share,Review / Test,Accountable Owner,Status
PS-HR-RESTRICTED,Employee records,Named HR roles and subject access as applicable,Scoped HR create,Controlled modification,Restricted,HR authority — TBC,Prohibited unless lawful/approved,Annual + role change,HR / Privacy — TBC,PENDING
PS-HR-SENSITIVE,Disciplinary/grievance,Named HR/Legal need-to-know,Scoped create,Controlled modification,Restricted,HR/Legal authority — TBC,Prohibited unless lawful,Matter change + annual,HR / Legal / Privacy — TBC,PENDING
PS-HR-MEDICAL,Medical/occupational health,Minimum lawful need-to-know,Scoped authorized create,Controlled modification,Restricted,Authorized medical/HR role — TBC,Prohibited unless lawful,Role change + annual,HR / Privacy — TBC,PENDING
PS-LEGAL-PRIVILEGED,"Legal privilege, contracts and disputes",Named Legal roles,Legal create,Controlled modification,Restricted/legal hold,Legal authority — TBC,Legal-approved only,Matter change + annual,Legal — TBC,PENDING
PS-IT-RESTRICTED,IT operational records,Named IT roles,Scoped create,Controlled modification,Restricted,IT authority — TBC,Approved/logged,Annual + JML,IT — TBC,PENDING
PS-INFOSEC-RESTRICTED,Security/access/incident records,Named ISM roles,Scoped create,Controlled modification,Restricted,ISM authority — TBC,Approved/logged,Quarterly high-risk + annual,ISM — TBC,PENDING
PS-EHS-RESTRICTED,EHS incidents/health interfaces,Named EHS roles,Scoped create,Controlled modification,Restricted,EHS authority — TBC,Lawful/approved only,Annual + incident review,EHS / Privacy — TBC,PENDING
PS-MED-RESTRICTED,Medical Affairs records,Named Medical roles,Scoped create,Controlled modification,Restricted,Medical authority — TBC,Approved route only,Annual,Medical Owner — TBC,BLOCKED_TAXONOMY
PS-MASTER-DATA,Approved shared master/reference data,Authorized enterprise readers,Named stewards,Steward-controlled,Restricted,Data Owner,Controlled export only,Annual + data-quality review,Data Governance — TBC,PENDING
PS-WORKING,Non-authoritative working areas,Entity/function team,Team create/edit,Team edit,Cleanup only under rule,No approval authority,Owner-approved/time-limited,Monthly aging + annual access,Function Owner — TBC,PENDING
PS-INTAKE,Transfer quarantine,Records Management and assigned reviewers,Controlled deposit,Assessment annotations only,No deletion before disposition,Records Management,Restricted,Weekly clearance/monthly KPI,Records Management,PENDING
PS-LEGACY-READONLY,Legacy holdings,Authorized read,No,No,No routine deletion,Migration Governance,No external sharing,Quarterly,Records Management,PENDING
PS-ARCHIVE-READONLY,Archived records,Authorized read by record class,No routine create,No,Disposition only with approval,Records Management/Legal,No external sharing unless approved,Annual + hold review,Records Management / Legal,PENDING
PS-REPO-CONTROL,Zone 00 repository governance and file plan,Authorized enterprise readers; editors need-to-know,Records Management/IT/QA Documentation,Controlled change only,No routine deletion,Change Control / GQD,No external sharing,Quarterly + every architecture change,Records Management / IT / QA Documentation,PENDING
PS-PRODUCT-RESTRICTED,"Product, brand and dossier lifecycle",Named product/brand/regulatory roles,Scoped create,Controlled modification,Restricted,Portfolio/GRA/Quality authority,Approved route only,Annual + product change,Product / GRA / GQD,PENDING
PS-MARKET,Market expansion and country records,Commercial/GRA/Country roles,Scoped create,Modify until approved; controlled correction after,Retention-controlled,Market/entry authority,Owner-approved,Annual,Commercial / GRA,PENDING
PS-DEALS-CONFIDENTIAL,"Clients, partners, opportunities and deals",Named account/deal/legal roles,Scoped create,Controlled modification,Restricted,Commercial/Legal authority,NDA/contract controlled,Annual + deal closure,Commercial / Legal,PENDING
PS-PROJECT,Programmes and projects,Approved project teams,Scoped create,Controlled modification,Closure/disposition only,Sponsor / PMO,Owner-approved,At phase gate + annual,PMO / Sponsor,PENDING
PS-KNOWLEDGE-READ,Non-controlled knowledge and reference,Authorized enterprise users,Named knowledge owners,Owner-controlled,Supersession/disposal controlled,Knowledge Owner,Approved public/external sharing only,Annual,Knowledge Owner / Records Management,PENDING
PS-CORP-HIGHLY-RESTRICTED,Highly confidential corporate records,Named need-to-know only,Matter owner only,Controlled modification,Legal hold/disposition only,Legal/Board/HR/ISM authority,Strictly prohibited unless authorized,Matter change + quarterly,Legal / Corporate Secretary / HR / ISM,PENDING
PS-QUARANTINE,Inbox and quarantine,Records Management and assigned reviewers,Controlled deposit,Assessment metadata only,No deletion before disposition,Records Management,Prohibited,Weekly clearance + monthly KPI,Records Management / IT,PENDING
